order_id,value_per_order
1,13.25
2,92.00
3,37.25
4,16.50
5,16.50
6,24.75
7,12.50
8,12.50
9,143.25
10,41.00
11,73.50
12,70.75
13,20.25
14,12.00
15,63.25
16,50.70
17,184.50
18,20.50
19,40.75
20,30.50
21,20.50
22,55.25
23,12.75
24,57.75
25,37.00
26,32.25
27,57.00
28,12.75
29,12.00
30,20.75
31,25.75
32,69.25
33,32.75
34,12.00
35,66.75
36,32.75
37,41.00
38,31.00
39,20.75
40,30.70
41,26.75
42,67.25
43,54.00
44,12.50
45,45.20
46,58.00
47,32.75
48,70.25
49,20.25
50,25.50
51,38.25
52,57.50
53,27.50
54,37.25
55,33.25
56,53.00
57,16.00
58,31.00
59,39.00
60,35.50
61,37.50
62,33.25
63,14.50
64,12.00
65,52.25
66,32.00
67,20.75
68,53.25
69,20.75
70,33.50
71,20.75
72,20.25
73,12.75
74,72.00
75,53.25
76,70.25
77,30.00
78,132.95
79,52.25
80,26.50
81,20.75
82,65.50
83,12.75
84,15.25
85,64.75
86,16.50
87,65.25
88,18.50
89,41.50
90,33.00
91,64.00
92,152.25
93,16.25
94,28.75
95,32.75
96,12.00
97,12.00
98,41.00
99,20.75
100,16.50
101,73.25
102,25.25
103,12.50
104,70.50
105,52.75
106,41.00
107,78.25
108,57.75
109,74.50
110,65.75
111,68.50
112,9.75
113,57.75
114,27.50
115,49.25
116,18.50
117,36.75
118,32.75
119,14.75
120,42.75
121,75.70
122,16.50
123,12.00
124,65.75
125,25.50
126,20.25
127,12.50
128,12.50
129,28.00
130,59.75
131,63.75
132,9.75
133,49.25
134,45.25
135,20.25
136,31.00
137,46.50
138,71.95
139,18.50
140,28.50
141,16.00
142,16.00
143,121.75
144,238.45
145,12.00
146,48.75
147,25.50
148,12.00
149,16.00
150,12.50
151,33.25
152,59.50
153,16.00
154,12.50
155,69.25
156,36.75
157,69.50
158,33.50
159,34.70
160,16.00
161,52.50
162,12.00
163,44.50
164,33.25
165,16.50
166,12.50
167,49.75
168,28.00
169,46.20
170,16.50
171,16.00
172,49.25
173,53.00
174,65.50
175,20.75
176,37.25
177,32.75
178,20.75
179,44.75
180,41.25
181,20.25
182,44.40
183,49.25
184,16.50
185,28.75
186,82.50
187,39.25
188,49.00
189,36.75
190,67.25
191,37.50
192,33.00
193,70.25
194,12.75
195,20.75
196,44.75
197,80.20
198,32.75
199,16.75
200,25.50
201,83.25
202,12.75
203,67.00
204,20.75
205,42.00
206,46.50
207,20.75
208,78.75
209,20.75
210,12.00
211,9.75
212,20.50
213,17.95
214,65.50
215,12.00
216,51.75
217,28.00
218,16.50
219,71.75
220,63.75
221,47.00
222,30.20
223,11.00
224,66.00
225,50.25
226,20.50
227,32.75
228,12.75
229,54.25
230,16.75
231,45.25
232,37.50
233,12.00
234,45.25
235,16.75
236,36.50
237,12.00
238,20.75
239,37.50
240,14.75
241,37.00
242,53.00
243,33.00
244,33.25
245,41.50
246,32.00
247,42.00
248,31.25
249,33.00
250,14.75
251,16.00
252,16.50
253,23.65
254,62.90
255,67.00
256,17.50
257,41.50
258,16.00
259,15.25
260,39.00
261,23.65
262,16.75
263,20.75
264,16.00
265,74.00
266,16.50
267,50.20
268,30.50
269,16.75
270,62.25
271,210.50
272,16.50
273,12.50
274,38.70
275,65.00
276,39.25
277,14.75
278,37.50
279,33.50
280,32.50
281,12.25
282,72.00
283,16.00
284,41.25
285,20.75
286,37.25
287,55.75
288,65.15
289,18.50
290,28.00
291,69.00
292,36.75
293,24.75
294,58.25
295,16.75
296,40.75
297,16.75
298,58.25
299,28.00
300,49.25
301,20.50
302,20.75
303,37.75
304,30.75
305,44.00
306,38.50
307,37.25
308,46.75
309,35.00
310,23.25
311,20.25
312,68.65
313,16.00
314,80.00
315,16.00
316,27.00
317,99.20
318,74.00
319,16.50
320,37.50
321,20.75
322,74.25
323,16.00
324,18.50
325,24.00
326,37.50
327,16.00
328,20.25
329,37.25
330,251.40
331,16.50
332,53.75
333,16.75
334,70.25
335,20.25
336,20.75
337,31.75
338,66.50
339,16.50
340,12.50
341,26.50
342,41.00
343,33.25
344,16.00
345,24.50
346,55.00
347,57.00
348,49.50
349,15.25
350,58.00
351,25.25
352,32.50
353,54.00
354,32.25
355,33.25
356,16.75
357,45.50
358,16.50
359,36.75
360,43.25
361,36.00
362,37.00
363,40.50
364,42.00
365,47.50
366,20.50
367,32.50
368,37.25
369,16.00
370,28.45
371,12.50
372,12.00
373,49.00
374,41.25
375,16.00
376,45.75
377,34.00
378,12.75
379,20.75
380,33.00
381,16.75
382,28.75
383,16.50
384,54.50
385,20.25
386,46.00
387,102.50
388,57.50
389,20.75
390,17.50
391,16.00
392,147.00
393,28.50
394,202.75
395,16.00
396,12.00
397,66.00
398,9.75
399,68.25
400,33.25
401,16.00
402,34.45
403,45.75
404,20.75
405,20.25
406,45.50
407,49.75
408,40.15
409,15.25
410,65.50
411,37.25
412,40.15
413,12.00
414,47.00
415,12.75
416,20.25
417,9.75
418,33.00
419,66.00
420,29.50
421,53.75
422,50.45
423,33.00
424,12.50
425,16.50
426,44.75
427,20.25
428,32.25
429,16.50
430,28.25
431,59.20
432,44.75
433,20.75
434,57.00
435,43.00
436,60.50
437,16.75
438,16.00
439,41.25
440,242.70
441,41.50
442,20.75
443,251.45
444,14.75
445,16.50
446,49.00
447,18.50
448,41.25
449,20.75
450,12.00
451,55.25
452,45.00
453,67.70
454,16.50
455,20.75
456,20.25
457,53.50
458,45.00
459,20.75
460,28.50
461,27.25
462,12.00
463,37.25
464,37.00
465,12.00
466,45.75
467,12.50
468,33.20
469,29.00
470,12.00
471,12.75
472,37.75
473,49.75
474,21.75
475,32.75
476,49.25
477,32.00
478,33.00
479,59.50
480,12.50
481,21.75
482,49.25
483,60.25
484,38.20
485,16.75
486,12.50
487,51.00
488,16.00
489,20.75
490,44.00
491,64.50
492,53.00
493,20.75
494,77.45
495,36.75
496,29.00
497,12.00
498,16.50
499,60.70
500,16.00
501,44.00
502,16.75
503,31.50
504,20.50
505,38.00
506,16.00
507,12.75
508,42.00
509,20.75
510,69.50
511,18.50
512,16.75
513,70.70
514,12.00
515,41.00
516,40.75
517,16.00
518,45.00
519,12.50
520,20.75
521,12.75
522,212.90
523,16.50
524,29.00
525,15.25
526,39.25
527,38.70
528,16.00
529,60.25
530,37.00
531,33.00
532,33.25
533,64.75
534,41.50
535,16.00
536,44.40
537,43.25
538,20.75
539,55.50
540,20.75
541,12.00
542,37.25
543,52.75
544,32.25
545,66.50
546,12.00
547,12.00
548,16.50
549,32.75
550,32.00
551,71.20
552,49.50
553,20.25
554,28.75
555,23.25
556,43.45
557,24.75
558,13.25
559,12.00
560,32.50
561,12.50
562,16.75
563,32.25
564,45.25
565,12.75
566,20.75
567,184.25
568,20.25
569,41.50
570,36.75
571,12.00
572,16.75
573,34.50
574,16.75
575,72.25
576,40.75
577,36.25
578,86.25
579,12.00
580,30.00
581,20.25
582,20.25
583,20.75
584,24.75
585,43.90
586,32.75
587,33.25
588,12.75
589,40.50
590,18.50
591,51.45
592,48.00
593,41.50
594,20.25
595,37.00
596,23.50
597,53.75
598,20.75
599,20.75
600,61.95
601,49.25
602,20.75
603,16.00
604,29.00
605,38.00
606,15.25
607,54.00
608,62.50
609,17.95
610,27.25
611,72.75
612,65.50
613,12.00
614,20.75
615,35.25
616,36.75
617,37.50
618,33.00
619,20.50
620,66.00
621,75.20
622,37.25
623,37.25
624,32.75
625,36.75
626,30.75
627,36.50
628,57.25
629,70.00
630,12.25
631,15.25
632,12.00
633,56.25
634,15.25
635,155.75
636,16.00
637,36.50
638,20.25
639,14.50
640,45.50
641,61.75
642,78.50
643,16.00
644,37.25
645,28.75
646,31.25
647,10.50
648,30.45
649,54.00
650,12.50
651,41.50
652,54.00
653,12.75
654,57.00
655,16.50
656,41.00
657,32.75
658,44.50
659,36.75
660,29.25
661,12.00
662,33.25
663,17.95
664,52.25
665,28.75
666,16.50
667,21.75
668,74.00
669,40.75
670,28.50
671,12.75
672,36.75
673,37.50
674,65.50
675,20.50
676,36.25
677,20.75
678,61.00
679,79.40
680,29.00
681,20.75
682,20.75
683,50.00
684,17.95
685,20.75
686,12.00
687,16.75
688,37.25
689,37.50
690,12.50
691,20.75
692,33.50
693,60.75
694,50.75
695,12.75
696,29.00
697,28.50
698,50.25
699,9.75
700,81.65
701,23.00
702,25.00
703,12.50
704,36.50
705,45.25
706,33.25
707,58.25
708,17.95
709,12.75
710,74.75
711,71.75
712,21.00
713,30.50
714,63.50
715,45.00
716,12.00
717,37.50
718,37.50
719,32.75
720,67.25
721,32.75
722,33.00
723,30.50
724,69.50
725,70.25
726,12.25
727,12.25
728,45.50
729,44.75
730,16.50
731,28.25
732,20.25
733,63.75
734,9.75
735,38.25
736,30.50
737,33.50
738,16.75
739,12.00
740,280.95
741,16.00
742,20.75
743,20.50
744,16.50
745,120.75
746,36.75
747,53.25
748,18.50
749,12.50
750,14.50
751,58.75
752,23.00
753,59.75
754,35.25
755,31.50
756,41.25
757,69.75
758,27.25
759,20.25
760,12.75
761,28.75
762,87.50
763,16.00
764,42.00
765,58.00
766,49.50
767,20.50
768,23.65
769,14.75
770,33.00
771,29.00
772,16.75
773,33.50
774,32.75
775,66.75
776,53.50
777,36.75
778,64.50
779,69.25
780,32.50
781,78.25
782,41.00
783,52.75
784,16.00
785,37.25
786,18.50
787,37.50
788,12.25
789,20.25
790,39.25
791,26.50
792,141.70
793,20.75
794,16.00
795,18.50
796,16.00
797,49.00
798,59.00
799,44.25
800,122.00
801,226.75
802,23.25
803,16.50
804,12.50
805,26.75
806,20.75
807,12.00
808,41.50
809,10.50
810,16.75
811,16.00
812,26.75
813,33.50
814,32.25
815,20.50
816,41.00
817,66.00
818,43.50
819,29.00
820,41.50
821,18.50
822,25.50
823,54.00
824,74.00
825,30.75
826,56.75
827,37.25
828,41.50
829,57.50
830,42.25
831,73.75
832,16.50
833,24.00
834,63.25
835,66.75
836,72.45
837,16.50
838,49.25
839,40.50
840,20.75
841,20.75
842,41.00
843,16.50
844,16.00
845,76.25
846,39.25
847,12.50
848,12.00
849,61.50
850,55.45
851,20.75
852,16.75
853,12.50
854,30.50
855,80.00
856,20.75
857,12.00
858,49.25
859,65.50
860,28.75
861,20.75
862,16.75
863,16.75
864,152.50
865,12.00
866,16.50
867,27.00
868,16.50
869,37.25
870,33.25
871,12.75
872,16.50
873,12.50
874,31.75
875,16.75
876,44.00
877,17.95
878,16.75
879,41.25
880,25.00
881,29.25
882,49.25
883,51.75
884,10.50
885,70.25
886,53.25
887,31.75
888,28.75
889,20.75
890,14.75
891,20.75
892,38.20
893,17.95
894,12.00
895,47.00
896,39.25
897,52.75
898,12.00
899,46.25
900,25.00
901,12.00
902,20.75
903,62.00
904,27.75
905,49.50
906,33.25
907,12.25
908,33.25
909,50.00
910,44.75
911,24.75
912,14.50
913,12.50
914,16.00
915,124.25
916,77.50
917,20.75
918,12.00
919,20.50
920,32.75
921,41.50
922,49.50
923,28.00
924,36.00
925,20.25
926,63.75
927,134.75
928,41.50
929,18.50
930,43.50
931,51.75
932,29.00
933,18.50
934,20.75
935,64.75
936,12.25
937,12.50
938,57.50
939,33.25
940,51.50
941,36.50
942,37.50
943,12.25
944,16.00
945,67.70
946,55.75
947,57.50
948,59.00
949,36.25
950,16.75
951,16.75
952,60.75
953,41.50
954,41.50
955,55.75
956,29.25
957,71.70
958,15.25
959,29.25
960,41.50
961,33.25
962,29.50
963,70.50
964,26.75
965,65.50
966,32.50
967,16.00
968,22.50
969,16.00
970,36.75
971,73.75
972,25.00
973,20.25
974,12.00
975,36.25
976,15.25
977,35.25
978,206.55
979,16.50
980,103.00
981,20.75
982,70.45
983,12.00
984,12.00
985,42.50
986,16.00
987,53.50
988,21.00
989,10.50
990,9.75
991,24.50
992,16.50
993,16.75
994,60.75
995,20.75
996,61.00
997,16.00
998,20.50
999,16.75
1000,43.90
1001,60.00
1002,33.50
